"company_code","company_name","board","listing_date","industry","city","total_market_cap_yi","float_market_cap_yi","pe","is_current_year_new","market_cap_rank","is_top10_market_cap"
"920108.BJ","宏海科技","北证","2025-02-06","电气机械和器材制造业","武汉市",16.5312,4.3965,68.6892,FALSE,169,FALSE
"920061.BJ","西磁科技","北证","2023-12-21","专用设备制造业","宁波市",16.3454,4.8249,352.7509,FALSE,170,FALSE
"920221.BJ","易实精密","北证","2023-06-08","汽车制造业","南通市",16.1364,5.0419,27.705,FALSE,171,FALSE
"920547.BJ","无锡晶海","北证","2023-12-12","医药制造业","无锡市",16.0814,4.963,25.249,FALSE,172,FALSE
"920183.BJ","海菲曼","北证","2026-03-04","计算机、通信和其他电子设备制造业","昆山市",16.0416,3.6866,21.4491,TRUE,173,FALSE
"920396.BJ","常辅股份","北证","2020-11-18","仪器仪表制造业","常州市",16.0331,8.1844,38.1268,FALSE,174,FALSE
"920056.BJ","能之光","北证","2025-08-22","橡胶和塑料制品业","宁波市",16.0034,6.0096,27.6148,FALSE,175,FALSE
"920180.BJ","爱得科技","北证","2026-02-10","专用设备制造业","张家港市",15.9348,4.8118,21.5098,TRUE,176,FALSE
"920299.BJ","灿能电力","北证","2022-06-10","仪器仪表制造业","南京市",15.9223,5.2158,67.7806,FALSE,177,FALSE
"920670.BJ","数字人","北证","2020-12-08","软件和信息技术服务业","济南市",15.853,8.1932,464.4101,FALSE,178,FALSE
"920184.BJ","国源科技","北证","2020-07-27","软件和信息技术服务业","北京市",15.8073,7.8259,73.5786,FALSE,179,FALSE
"920076.BJ","国亮新材","北证","2026-01-22","非金属矿物制品业","唐山市",15.8069,4.9723,19.4456,TRUE,180,FALSE
"920627.BJ","力王股份","北证","2023-09-07","电气机械和器材制造业","东莞市",15.7354,4.8519,52.3374,FALSE,181,FALSE
"920985.BJ","海泰新能","北证","2022-08-08","电气机械和器材制造业","唐山市",15.7214,6.8564,-2.2865,FALSE,182,FALSE
"920837.BJ","华原股份","北证","2023-05-15","汽车制造业","玉林市",15.6719,4.7919,19.5268,FALSE,183,FALSE
"920703.BJ","广厦环能","北证","2023-12-05","专用设备制造业","北京市",15.4944,5.0719,19.943,FALSE,184,FALSE
"920304.BJ","迪尔化工","北证","2023-04-18","化学原料和化学制品制造业","泰安市",15.411,7.1655,28.9265,FALSE,185,FALSE
"920675.BJ","秉扬科技","北证","2020-12-28","非金属矿物制品业","攀枝花市",15.2021,4.3879,37.2472,FALSE,186,FALSE
